application_id,age,annual_income,credit_score,loan_amount,years_employed,debt_to_income_ratio,existing_loans,employment_type,marital_status,education_level,residence_type,city_tier,card_type_requested,application_date,approval_status
100038,27.0,84949.0,741.0,3939.0,6.0,0.6,4,Self-Employed,Single,Masters,Rented,Tier2,Silver,2024-12-13,Rejected
100039,41.0,171772.0,386.0,18222.0,34.0,0.22,6,Salaried,Divorced,High School,Family,Tier2,Silver,2024-02-15,Approved
100040,29.0,87543.0,330.0,28277.0,21.0,0.36,1,Self-Employed,Married,High School,Rented,Tier3,Gold,2025-04-05,Approved
100041,59.0,185390.0,420.0,22143.0,31.0,0.54,7,Self-Employed,Single,High School,Owned,Tier1,Platinum,2024-01-16,Rejected
100042,38.0,52610.0,368.0,4138.0,25.0,0.11,5,Self-Employed,Single,High School,Rented,Tier3,Silver,2025-08-19,Approved
100043,24.0,90226.0,795.0,21989.0,5.0,0.38,0,Business,Married,Bachelors,Family,Tier2,Gold,2024-01-22,Approved
100044,45.0,70167.0,445.0,4162.0,10.0,0.14,1,Self-Employed,Single,Masters,Owned,Tier2,Gold,2024-08-02,Approved
100045,34.0,184011.0,632.0,3752.0,,0.4,5,Self-Employed,Married,Bachelors,Family,Tier3,Gold,2025-04-04,Approved
100046,29.0,92381.0,780.0,26765.0,20.0,0.55,2,Self-Employed,,Bachelors,Owned,Tier1,Silver,2024-06-17,Rejected
100047,46.0,71710.0,562.0,46657.0,21.0,0.2,0,Salaried,Single,High School,Owned,Tier2,Gold,2025-06-17,Approved
100048,22.0,41766.0,592.0,1837.0,0.0,0.6,2,Business,Divorced,,Family,Tier1,Gold,2024-03-29,Approved
100049,40.0,127416.0,728.0,29474.0,20.0,0.27,3,Self-Employed,Single,High School,Owned,Tier2,Silver,2024-08-26,Approved
100050,48.0,37780.0,385.0,13043.0,19.0,0.17,3,Self-Employed,Married,Masters,Rented,Tier2,Gold,2024-02-14,Rejected
100051,27.0,73458.0,315.0,49565.0,8.0,0.35,4,Salaried,Married,Bachelors,,Tier3,Gold,2024-04-03,Approved
100052,64.0,81221.0,417.0,48154.0,26.0,0.62,7,Business,Married,Bachelors,Rented,Tier2,Platinum,2025-03-16,Rejected
100053,28.0,26509.0,569.0,36501.0,28.0,0.09,7,Self-Employed,Married,Bachelors,Owned,Tier3,Gold,2024-07-13,Approved
100054,,114493.0,694.0,45770.0,32.0,0.26,1,Business,Single,Masters,Family,Tier2,Platinum,2025-05-26,Approved
100055,34.0,190418.0,461.0,48369.0,0.0,0.47,6,Self-Employed,Divorced,High School,Rented,Tier2,Silver,2025-03-14,Approved
100056,37.0,141850.0,403.0,25072.0,2.0,0.28,6,Self-Employed,Divorced,High School,Owned,Tier1,Silver,2025-11-01,Approved
100057,56.0,182220.0,466.0,38974.0,31.0,0.1,2,Business,Single,Masters,Family,Tier3,Platinum,2024-08-15,Rejected
100058,60.0,56533.0,599.0,3653.0,19.0,0.27,0,Salaried,Single,Masters,Owned,Tier1,Platinum,2025-05-20,Approved
100059,24.0,133144.0,327.0,23524.0,16.0,0.58,5,Self-Employed,Divorced,High School,Rented,Tier3,Platinum,2025-03-13,Approved
100060,22.0,147402.0,723.0,20733.0,9.0,0.68,1,Business,Divorced,Bachelors,Rented,Tier1,Gold,2025-11-05,Rejected
100061,26.0,103467.0,455.0,37078.0,28.0,0.08,4,Self-Employed,Single,High School,Owned,Tier2,Gold,2025-06-09,Approved
100062,62.0,26359.0,623.0,38448.0,31.0,0.42,2,Self-Employed,Single,Masters,Rented,Tier3,Platinum,2024-05-29,Approved
100063,24.0,144119.0,647.0,19770.0,12.0,0.12,5,Salaried,Single,Masters,Family,Tier3,Platinum,2025-02-02,Approved
100064,49.0,45344.0,420.0,38959.0,30.0,0.49,5,Salaried,Single,High School,Rented,Tier3,Platinum,2025-12-27,Rejected
100065,38.0,143499.0,827.0,38443.0,3.0,0.06,2,Business,Single,Bachelors,Owned,Tier2,Silver,2024-11-23,Rejected
100066,46.0,94778.0,463.0,13804.0,,0.06,3,Self-Employed,Divorced,Masters,Rented,Tier2,Gold,2025-11-20,Rejected
100067,64.0,45601.0,361.0,17210.0,10.0,0.55,4,Self-Employed,Divorced,Masters,Rented,Tier3,Gold,2025-06-19,Rejected
100068,54.0,175188.0,639.0,35029.0,17.0,0.1,5,Business,Married,Masters,Rented,Tier1,Silver,2025-03-01,Rejected
100069,30.0,126013.0,611.0,8633.0,32.0,0.25,2,Self-Employed,Married,High School,Owned,Tier1,Gold,2024-02-09,Rejected
100070,56.0,55782.0,675.0,9312.0,2.0,0.67,3,Self-Employed,Divorced,High School,Owned,Tier2,Platinum,2024-11-22,Rejected
100071,34.0,136095.0,645.0,,0.0,0.69,6,Business,Divorced,Masters,Rented,Tier2,Gold,2025-01-27,Rejected
100072,51.0,122123.0,449.0,21229.0,18.0,0.15,6,Salaried,Married,High School,Rented,Tier1,Platinum,2025-04-26,Approved
100073,35.0,69458.0,476.0,3884.0,5.0,0.41,3,,Married,Bachelors,Rented,Tier1,Silver,2024-05-07,Approved
100074,28.0,149225.0,653.0,44577.0,9.0,0.41,0,Salaried,Married,High School,Family,Tier2,Silver,2025-03-02,Rejected
100075,34.0,164152.0,813.0,21522.0,11.0,0.34,5,Salaried,Single,Masters,Owned,Tier1,Gold,2025-07-27,Rejected
100076,43.0,190029.0,608.0,6623.0,16.0,0.65,4,Salaried,Married,Bachelors,Owned,Tier1,Platinum,2025-10-20,Approved
100077,60.0,169980.0,418.0,12460.0,26.0,0.54,4,Business,Single,High School,Owned,Tier1,Platinum,2024-08-11,Approved
100078,41.0,121188.0,818.0,11234.0,1.0,0.55,6,Business,Single,Masters,Owned,Tier2,Gold,2025-06-16,Approved
100079,36.0,146292.0,777.0,19503.0,24.0,0.23,2,Business,Married,Masters,Family,Tier1,Silver,2025-04-18,Approved
100080,38.0,115570.0,713.0,25100.0,27.0,0.33,6,Salaried,Divorced,Bachelors,Owned,Tier3,Platinum,2024-03-01,Approved
100081,44.0,148791.0,650.0,17874.0,16.0,0.37,0,Salaried,Married,High School,Rented,Tier2,Gold,2024-10-16,Approved
100082,46.0,150291.0,805.0,47905.0,4.0,0.24,1,Salaried,Married,High School,,Tier3,Platinum,2024-04-17,Rejected
100083,45.0,123375.0,494.0,30420.0,18.0,0.11,2,Self-Employed,Married,High School,Rented,Tier3,Platinum,2024-07-16,Rejected
100084,61.0,63314.0,486.0,36813.0,3.0,0.13,3,Salaried,Married,High School,,Tier1,Platinum,2025-02-20,Approved
100085,49.0,133880.0,749.0,1382.0,29.0,0.17,1,Self-Employed,Married,Bachelors,Family,Tier3,,2025-04-07,Approved
100086,35.0,125326.0,795.0,39353.0,31.0,0.18,1,Salaried,Single,Masters,Family,Tier2,Silver,2024-03-27,Approved
100087,21.0,171903.0,814.0,10369.0,,0.21,5,Self-Employed,Married,Masters,Family,Tier2,Silver,2025-07-24,Approved
100088,45.0,146026.0,572.0,35985.0,31.0,0.22,7,Self-Employed,Divorced,Masters,Family,Tier2,Silver,2024-11-22,Approved
100089,27.0,176197.0,351.0,43255.0,10.0,0.35,7,Business,Divorced,High School,Family,Tier2,Gold,2025-10-15,Approved
100090,29.0,87451.0,562.0,24661.0,12.0,0.38,2,Business,Single,High School,Owned,Tier1,Gold,2025-04-06,Approved
100091,44.0,70708.0,667.0,46486.0,34.0,0.25,5,Salaried,Single,High School,Rented,Tier2,Silver,2024-02-22,Approved
100092,21.0,42682.0,432.0,48883.0,16.0,0.64,0,Business,Married,High School,Rented,Tier3,Gold,2025-03-13,Approved
100093,64.0,127406.0,524.0,1650.0,29.0,0.41,4,Self-Employed,Married,Masters,Owned,Tier1,Silver,2024-09-12,Approved
100094,28.0,191866.0,609.0,41937.0,17.0,0.56,0,Business,Single,Masters,Rented,Tier2,Silver,2025-08-18,Approved
100095,44.0,84372.0,315.0,22299.0,29.0,0.65,2,Business,Divorced,Bachelors,Rented,Tier3,Gold,2024-12-19,Approved
100096,31.0,64477.0,494.0,27862.0,25.0,0.16,4,Self-Employed,Married,Bachelors,Rented,Tier3,Platinum,2024-10-26,Approved
100097,37.0,194809.0,742.0,32153.0,15.0,0.33,1,Salaried,Divorced,High School,Owned,Tier2,Platinum,2024-05-14,Approved
100098,28.0,158692.0,602.0,17312.0,10.0,0.33,6,Salaried,Single,Bachelors,Owned,Tier2,Gold,2024-12-15,Approved
100099,55.0,191129.0,347.0,11943.0,3.0,0.28,6,Self-Employed,Divorced,Masters,Rented,Tier3,Gold,2024-08-22,Approved
100100,55.0,196210.0,420.0,4198.0,14.0,0.06,3,Business,Divorced,Masters,Owned,Tier3,Silver,2024-02-15,Approved
100101,53.0,78024.0,798.0,18325.0,11.0,0.58,5,Salaried,Divorced,Masters,Family,Tier2,Platinum,2025-08-24,Approved
100102,25.0,165749.0,768.0,9732.0,26.0,0.12,0,Self-Employed,Married,Masters,Family,Tier3,Platinum,2025-12-09,Rejected
100103,62.0,180146.0,340.0,6805.0,3.0,0.7,5,,,High School,Rented,Tier2,Silver,2025-09-22,Rejected
100104,59.0,42824.0,755.0,19913.0,34.0,0.55,5,Self-Employed,Married,High School,Family,Tier1,Silver,2025-08-28,Approved
100105,61.0,156837.0,833.0,2202.0,20.0,0.43,6,Business,Divorced,Bachelors,Family,Tier1,Platinum,2024-06-10,Approved
100106,48.0,122151.0,670.0,18034.0,1.0,0.15,4,Salaried,Married,High School,Owned,Tier2,Silver,2024-10-28,Rejected
100107,27.0,73926.0,481.0,4006.0,27.0,0.39,0,Self-Employed,Married,Bachelors,Family,Tier2,Platinum,2025-05-11,Rejected
100108,29.0,192932.0,816.0,9505.0,33.0,0.22,4,Salaried,Married,Masters,Rented,Tier2,Gold,2025-06-14,Approved
100109,28.0,37975.0,530.0,21498.0,32.0,0.21,3,Business,Single,Bachelors,Family,Tier3,Gold,2025-05-05,Approved
100110,32.0,99877.0,647.0,43143.0,7.0,0.59,5,Salaried,Single,High School,Family,Tier3,Platinum,2024-01-30,Approved
100111,54.0,102870.0,778.0,46873.0,7.0,0.3,2,Self-Employed,Divorced,High School,Family,Tier1,Platinum,2024-09-20,Approved
100112,53.0,106371.0,508.0,17505.0,21.0,0.34,6,Business,Married,Masters,Owned,Tier2,Silver,2024-03-26,Approved
100113,43.0,182620.0,577.0,7603.0,26.0,0.6,2,Self-Employed,Divorced,High School,Owned,Tier2,Gold,2024-09-30,Rejected
100114,44.0,125970.0,352.0,25744.0,27.0,0.11,4,Business,Married,Masters,Owned,Tier2,Platinum,2024-03-28,Rejected
100115,57.0,123066.0,309.0,4682.0,10.0,0.44,4,Salaried,Divorced,High School,Family,Tier3,Silver,2024-04-17,Approved
100116,55.0,194808.0,763.0,14460.0,26.0,0.43,2,Business,Single,Masters,Owned,Tier2,Platinum,2024-02-21,Approved
100117,64.0,86562.0,457.0,14559.0,0.0,0.33,1,Business,Divorced,Bachelors,Owned,Tier3,Gold,2024-12-31,Rejected
100118,60.0,65409.0,318.0,29544.0,27.0,0.59,6,Business,Single,Bachelors,Owned,Tier1,Platinum,2025-06-03,Approved
100119,42.0,34834.0,354.0,7864.0,26.0,0.66,1,Business,Married,Masters,Rented,Tier2,Platinum,2025-01-31,Rejected
100120,47.0,127192.0,320.0,24778.0,7.0,0.35,6,Self-Employed,Married,Bachelors,Rented,Tier2,Platinum,2024-06-11,Rejected
100121,55.0,25840.0,581.0,15234.0,23.0,0.35,1,Business,Married,High School,Family,Tier3,Platinum,2025-08-21,Approved
100122,21.0,56568.0,839.0,29593.0,23.0,0.38,6,Self-Employed,Divorced,Masters,,Tier2,Platinum,2024-07-12,Rejected
100123,55.0,35846.0,716.0,45657.0,21.0,0.52,3,Self-Employed,Divorced,Bachelors,Owned,Tier3,Gold,2024-12-13,Approved
100124,57.0,161971.0,584.0,2729.0,9.0,0.48,7,Salaried,Divorced,Bachelors,Rented,Tier2,Silver,2025-12-09,Approved
100125,34.0,111038.0,831.0,45515.0,3.0,0.19,4,Salaried,Single,High School,Family,Tier1,Gold,2025-04-17,Approved
100126,23.0,194845.0,831.0,23336.0,7.0,0.09,0,Business,Married,Bachelors,Family,Tier2,Silver,2025-01-19,Rejected
100127,21.0,154789.0,810.0,35936.0,14.0,0.67,0,Business,Married,Bachelors,Owned,Tier3,Silver,2024-06-27,Approved
100128,25.0,132460.0,695.0,13413.0,7.0,0.22,4,Salaried,Single,Masters,Rented,Tier2,Gold,2024-12-07,Approved
100129,46.0,99723.0,419.0,48652.0,28.0,0.47,2,Salaried,Single,High School,Rented,Tier3,Platinum,2024-07-17,Approved
100130,34.0,129194.0,396.0,30764.0,34.0,0.59,7,Self-Employed,Married,Bachelors,Family,Tier2,Silver,2025-07-19,Approved
100131,59.0,136417.0,419.0,46741.0,13.0,0.25,4,Business,Married,Masters,Owned,Tier3,Platinum,2025-12-28,Approved
100132,47.0,,836.0,8668.0,31.0,0.46,1,Salaried,Single,Bachelors,Family,Tier2,Gold,2024-01-26,Approved
100133,29.0,81888.0,452.0,14260.0,6.0,0.12,1,Salaried,Single,Masters,Owned,Tier1,Silver,2024-12-16,Approved
100134,35.0,66616.0,544.0,12308.0,32.0,0.68,0,Self-Employed,Married,High School,Rented,Tier2,Silver,2025-04-19,Approved
100135,35.0,31083.0,815.0,9896.0,34.0,0.09,4,Self-Employed,Married,High School,Family,Tier3,Gold,2024-06-25,Approved
100136,46.0,168670.0,692.0,40408.0,26.0,0.33,0,Salaried,Single,High School,Owned,Tier1,Gold,2025-09-12,Rejected
100137,62.0,107476.0,442.0,20283.0,0.0,0.4,2,Business,Married,Bachelors,Owned,Tier1,Platinum,2025-03-05,Approved
100138,33.0,117416.0,803.0,20591.0,5.0,0.56,5,Self-Employed,Single,Bachelors,Owned,Tier3,Gold,2024-05-24,Approved
100139,52.0,27580.0,519.0,26282.0,1.0,0.13,5,Self-Employed,Married,Masters,Family,Tier3,Platinum,2025-08-28,Approved
100140,59.0,147834.0,459.0,14919.0,6.0,0.34,5,Business,Divorced,High School,Family,Tier2,Silver,2025-03-19,Approved
100141,52.0,137148.0,375.0,8674.0,7.0,0.24,3,Salaried,Divorced,High School,Family,Tier1,Platinum,2025-04-13,Approved
100142,24.0,67321.0,331.0,31699.0,28.0,0.25,6,,Married,Masters,Rented,Tier3,Silver,2025-10-09,Rejected
100143,50.0,34386.0,633.0,31840.0,15.0,0.56,3,Business,Single,Masters,Owned,Tier2,Silver,2024-07-07,Approved
100144,57.0,78171.0,824.0,19392.0,28.0,0.05,2,Business,Divorced,Bachelors,Owned,Tier2,Silver,2024-03-01,Approved
100145,43.0,175594.0,739.0,32960.0,30.0,0.54,1,Self-Employed,Single,High School,Owned,Tier3,Gold,2024-02-17,Approved
100146,59.0,170707.0,651.0,5721.0,21.0,0.58,1,Salaried,Divorced,Bachelors,Owned,Tier1,Platinum,2025-01-24,Rejected
100147,35.0,156743.0,638.0,30197.0,9.0,0.64,7,Salaried,Divorced,Masters,Rented,Tier3,Platinum,2025-06-08,Approved
100148,63.0,58545.0,699.0,27173.0,3.0,0.46,1,Salaried,Divorced,High School,Owned,Tier2,Platinum,2025-02-16,Approved
100149,49.0,51855.0,695.0,2066.0,24.0,0.27,0,Business,Married,Masters,Rented,Tier3,Platinum,2024-03-03,Approved
100150,56.0,60790.0,501.0,43906.0,12.0,0.33,6,Business,Married,Masters,Family,Tier2,Silver,2025-07-11,Approved
100151,33.0,76012.0,829.0,28375.0,16.0,0.68,5,Salaried,Single,High School,Family,Tier3,Silver,2025-02-21,Approved
100152,52.0,142827.0,392.0,2918.0,7.0,0.62,0,Business,Married,Bachelors,Owned,Tier3,Platinum,2024-12-05,Rejected
100153,27.0,39260.0,657.0,10457.0,22.0,0.35,3,Business,Single,Masters,Family,Tier1,Gold,2024-04-15,Approved
100154,42.0,26074.0,695.0,11726.0,6.0,0.66,1,Business,Divorced,Masters,Owned,Tier1,Gold,2024-11-25,Approved
100155,48.0,198748.0,359.0,15282.0,31.0,0.58,1,Salaried,Married,Masters,Rented,Tier2,Gold,2024-08-24,Rejected
100156,22.0,165547.0,776.0,25815.0,23.0,0.64,6,Salaried,Divorced,Bachelors,Family,Tier1,Platinum,2024-10-06,Rejected
100157,62.0,171192.0,300.0,23594.0,0.0,0.49,5,Salaried,Single,Bachelors,Family,Tier3,Silver,2025-01-21,Approved
100158,26.0,179219.0,610.0,8448.0,26.0,0.61,6,Self-Employed,Married,Bachelors,Rented,Tier1,Gold,2024-01-28,Approved
100159,48.0,26986.0,467.0,2142.0,5.0,0.63,7,Salaried,Married,High School,Rented,Tier3,Gold,2025-08-10,Approved
100160,48.0,188502.0,491.0,21232.0,30.0,0.11,2,Self-Employed,Divorced,Bachelors,Rented,Tier3,,2025-02-03,Approved
100161,64.0,80479.0,333.0,2415.0,,0.68,3,Business,Married,Masters,Owned,Tier2,Platinum,2025-11-12,Approved
100162,64.0,155833.0,333.0,7374.0,25.0,0.27,5,Business,Single,Masters,Owned,Tier1,Silver,2025-11-03,Approved
100163,40.0,27176.0,716.0,27974.0,24.0,0.34,0,Business,Married,High School,Family,Tier2,Silver,2025-12-28,Rejected
100164,50.0,109258.0,457.0,34528.0,3.0,0.56,3,Salaried,Divorced,Bachelors,Family,Tier3,Platinum,2024-09-13,Rejected
100165,31.0,140188.0,799.0,4642.0,5.0,0.48,5,Self-Employed,Single,High School,Rented,Tier3,Silver,2025-01-15,Rejected
100166,48.0,109153.0,665.0,18936.0,12.0,0.63,7,Salaried,Married,Masters,Owned,Tier2,Silver,2025-05-04,Approved
100167,45.0,183187.0,639.0,32914.0,24.0,0.31,1,Salaried,Divorced,Bachelors,Rented,Tier2,Gold,2025-10-10,Rejected
100168,59.0,102442.0,634.0,10347.0,30.0,0.29,1,Business,Divorced,High School,Rented,Tier2,Silver,2024-08-14,Approved
100169,53.0,65002.0,626.0,25932.0,21.0,0.07,0,Self-Employed,Divorced,Bachelors,Owned,Tier3,Platinum,2025-06-11,Approved
100170,,82124.0,413.0,24593.0,34.0,0.35,6,Salaried,Divorced,Bachelors,Family,Tier1,Silver,2024-07-19,Approved
100171,47.0,162682.0,717.0,2328.0,20.0,0.52,0,Self-Employed,Divorced,Masters,Family,Tier3,Gold,2025-12-16,Approved
100172,33.0,74752.0,767.0,19760.0,14.0,0.25,3,Salaried,Single,Masters,Family,Tier3,Gold,2025-02-18,Approved
100173,61.0,103947.0,442.0,20625.0,2.0,0.35,4,Business,Divorced,Masters,Family,Tier3,Platinum,2024-10-31,Rejected
100174,,143972.0,608.0,27567.0,25.0,0.19,1,Salaried,Divorced,High School,Family,Tier3,Silver,2024-04-25,Rejected
100175,59.0,99716.0,700.0,13063.0,16.0,0.55,1,Self-Employed,Married,High School,Owned,Tier1,Silver,2025-05-07,Approved
100176,26.0,35073.0,619.0,32630.0,34.0,0.09,4,Business,Single,High School,Owned,Tier3,Gold,2025-11-15,Rejected
100177,28.0,62251.0,511.0,27961.0,7.0,0.51,3,Salaried,Divorced,Bachelors,Rented,Tier2,Silver,2024-04-09,Approved
100178,47.0,121496.0,616.0,4140.0,10.0,0.3,2,Self-Employed,Married,Bachelors,Family,Tier1,Gold,2024-06-28,Approved
100179,29.0,63897.0,484.0,18265.0,23.0,0.08,2,Self-Employed,Single,Masters,Family,Tier2,Platinum,2024-10-11,Approved
100180,57.0,76616.0,504.0,9730.0,7.0,0.6,1,,Single,Bachelors,Owned,Tier2,Silver,2024-04-28,Rejected
100181,53.0,29482.0,663.0,15057.0,29.0,0.37,2,Business,Divorced,Bachelors,Rented,Tier3,Gold,2025-08-02,Approved
100182,62.0,132990.0,515.0,4557.0,0.0,0.44,6,Salaried,Single,Masters,Owned,Tier1,Platinum,2024-04-13,Approved
100183,64.0,195646.0,545.0,30114.0,33.0,0.53,3,Business,Married,High School,Owned,Tier3,Silver,2024-07-19,Approved
100184,44.0,68284.0,538.0,14211.0,19.0,0.48,2,Salaried,Single,Masters,Family,Tier1,Gold,2024-03-25,Rejected
100185,35.0,97932.0,690.0,48154.0,33.0,0.53,0,Self-Employed,Divorced,Bachelors,Owned,Tier1,Gold,2025-05-02,Approved
100186,52.0,32338.0,819.0,19580.0,33.0,0.55,3,Business,Divorced,Masters,Owned,Tier2,Silver,2024-09-23,Approved
100187,52.0,198790.0,576.0,19334.0,12.0,0.43,4,Self-Employed,Married,Bachelors,Family,Tier1,Platinum,2025-08-11,Rejected
100188,44.0,,501.0,10802.0,5.0,0.29,1,Self-Employed,Single,Masters,Family,Tier2,Silver,2024-05-27,Approved
100189,61.0,167617.0,513.0,23321.0,24.0,0.21,3,Salaried,Married,Bachelors,Family,Tier3,Gold,2024-03-14,Rejected
100190,32.0,86480.0,777.0,36931.0,26.0,0.64,2,Business,Single,Bachelors,Family,Tier2,Gold,2024-07-03,Approved
100191,59.0,161313.0,807.0,38231.0,30.0,0.68,3,Salaried,Single,Masters,Owned,Tier2,Platinum,2024-08-02,Approved
100192,22.0,178893.0,374.0,5007.0,2.0,0.28,5,Business,Single,Bachelors,Owned,Tier1,Platinum,2025-08-30,Rejected
100193,23.0,29695.0,441.0,,27.0,0.12,4,Salaried,Single,Bachelors,Family,Tier1,Platinum,2025-12-28,Approved
100194,57.0,39318.0,621.0,15058.0,3.0,0.19,5,Salaried,Divorced,Bachelors,Owned,Tier2,Platinum,2025-03-03,Approved
100195,37.0,75934.0,760.0,38519.0,16.0,0.49,3,Salaried,Divorced,Masters,Owned,Tier3,Platinum,2025-10-12,Rejected
100196,22.0,178403.0,445.0,7219.0,33.0,0.16,4,Self-Employed,Married,High School,Rented,Tier2,Gold,2024-08-06,Approved
100197,22.0,146282.0,353.0,16445.0,19.0,0.56,4,Business,Single,High School,Rented,Tier3,Gold,2024-11-10,Approved
100198,48.0,116891.0,655.0,9418.0,12.0,0.65,3,Self-Employed,Married,Masters,Rented,Tier3,Platinum,2025-12-27,Approved
100199,43.0,93754.0,576.0,24914.0,4.0,0.68,1,Self-Employed,Married,Masters,Owned,Tier1,Gold,2024-08-24,Rejected
100200,57.0,110677.0,699.0,30630.0,23.0,0.06,6,Salaried,Divorced,High School,Family,Tier3,Silver,2024-09-03,Rejected
100201,52.0,127320.0,815.0,41503.0,16.0,0.67,1,Salaried,Married,Masters,Owned,Tier2,Platinum,2024-02-18,Approved
100202,53.0,158909.0,798.0,42551.0,30.0,0.53,2,Self-Employed,Married,Bachelors,Rented,Tier1,Silver,2025-06-10,Approved
100203,21.0,150261.0,,29695.0,27.0,0.1,5,Business,Married,Masters,Owned,Tier1,Platinum,2025-03-26,Rejected
100204,39.0,130338.0,570.0,31434.0,0.0,0.32,3,Salaried,Single,High School,Rented,Tier1,Gold,2024-12-07,Rejected
